Frame ID; Time; Collision Count; Red Mushroom Count; Brown Mushroom Count; RL Position X; RL Position Y; RL Position Z; Game Position X; Game Position Y; Game Position Z; Navigation State
950;00:10:81;0;0;0;-1,828569;0,9638156;-0,04291165;0;0;0;nothing
951;00:10:82;0;0;0;-1,822037;0,9637393;-0,03982061;0;0;0;nothing
952;00:10:83;0;0;0;-1,816444;0,9633924;-0,03682876;0;0;0;nothing
953;00:10:84;0;0;0;-1,810865;0,9629245;-0,03382075;0;0;0;nothing
954;00:10:85;0;0;0;-1,80378;0,963486;-0,03024507;0;0;0;nothing
955;00:10:86;0;0;0;-1,798342;0,9631784;-0,0268696;0;0;0;nothing
956;00:10:87;0;0;0;-1,793236;0,9626259;-0,02363771;0;0;0;nothing
957;00:10:89;0;0;0;-1,78648;0,9630454;-0,01979613;0;0;0;nothing
958;00:10:90;0;0;0;-1,781204;0,96275;-0,01580417;0;0;0;nothing
959;00:10:91;0;0;0;-1,777411;0,961588;-0,01239514;0;0;0;nothing
960;00:10:92;0;0;0;-1,770571;0,9624685;-0,0072909;0;0;0;nothing
961;00:10:93;0;0;0;-1,765664;0,9622625;-0,002730012;0;0;0;nothing
962;00:10:94;0;0;0;-1,762423;0,9613026;0,001446724;0;0;0;nothing
963;00:10:96;0;0;0;-1,757171;0,9613969;0,007253706;0;0;0;nothing
964;00:10:97;0;0;0;-1,752454;0,9610537;0,01188028;0;0;0;nothing
965;00:10:98;0;0;0;-1,749319;0,9600815;0,0164187;0;0;0;nothing
966;00:10:98;0;0;0;-1,743311;0,9605868;0,02198774;0;0;0;nothing
967;00:10:99;0;0;0;-1,739456;0,9601822;0,02726275;0;0;0;nothing
968;00:11:00;0;0;0;-1,735965;0,9597983;0,03271437;0;0;0;nothing
969;00:11:02;0;0;0;-1,732494;0,9591775;0,03813082;0;0;0;nothing
970;00:11:03;0;0;0;-1,729143;0,9585583;0,04344922;0;0;0;nothing
971;00:11:04;0;0;0;-1,725996;0,9578294;0,04878902;0;0;0;nothing
972;00:11:05;0;0;0;-1,722461;0,9574143;0,05399185;0;0;0;nothing
973;00:11:06;0;0;0;-1,71965;0,9565784;0,05902362;0;0;0;nothing
974;00:11:07;0;0;0;-1,716907;0,9557461;0,06392705;0;0;0;nothing
975;00:11:08;0;0;0;-1,71384;0,9552639;0,06880862;0;0;0;nothing
976;00:11:09;0;0;0;-1,71142;0,9543251;0,07355064;0;0;0;nothing
977;00:11:10;0;0;0;-1,708937;0,9533876;0,07833248;0;0;0;nothing
978;00:11:12;0;0;0;-1,707323;0,9521401;0,08252621;0;0;0;nothing
979;00:11:13;0;0;0;-1,704978;0,951112;0,08724201;0;0;0;nothing
980;00:11:14;0;0;0;-1,702685;0,9500682;0,09184504;0;0;0;nothing
981;00:11:15;0;0;0;-1,701359;0,9487488;0,09581542;0;0;0;nothing
982;00:11:16;0;0;0;-1,699402;0,947969;0,1002157;0;0;0;nothing
983;00:11:17;0;0;0;-1,697779;0,9473555;0,1045827;0;0;0;walking
984;00:11:18;0;0;0;-1,697606;0,9463247;0,1084096;0;0;0;walking
985;00:11:19;0;0;0;-1,696385;0,9457887;0,1126851;0;0;0;walking
986;00:11:21;0;0;0;-1,695134;0,9451623;0,116916;0;0;0;walking
987;00:11:22;0;0;0;-1,695493;0,9439689;0,1203403;0;0;0;walking
988;00:11:23;0;0;0;-1,694597;0,9433298;0,124234;0;0;0;walking
989;00:11:24;0;0;0;-1,695011;0,9421828;0,1275196;0;0;0;walking
990;00:11:25;0;0;0;-1,69419;0,9415936;0,1309451;0;0;0;walking
991;00:11:26;0;0;0;-1,693439;0,9411006;0,1340297;0;0;0;walking
992;00:11:27;0;0;0;-1,692679;0,9407994;0,1367401;0;0;0;walking
993;00:11:28;0;0;0;-1,693078;0,939921;0,1386446;0;0;0;walking
994;00:11:29;0;0;0;-1,692209;0,9396672;0,1409696;0;0;0;walking
995;00:11:31;0;0;0;-1,691365;0,9394376;0,1427796;0;0;0;walking
996;00:11:32;0;0;0;-1,691794;0,9385282;0,1440442;0;0;0;walking
997;00:11:33;0;0;0;-1,690887;0,9382443;0,1453527;0;0;0;walking
998;00:11:34;0;0;0;-1,689953;0,9379427;0,1465911;0;0;0;walking
999;00:11:35;0;0;0;-1,690438;0,9368775;0,1468597;0;0;0;walking
1000;00:11:36;0;0;0;-1,68958;0,9366244;0,1471298;0;0;0;walking
1001;00:11:37;0;0;0;-1,688777;0,9363823;0,1472264;0;0;0;walking
1002;00:11:38;0;0;0;-1,689654;0,9352618;0,1465412;0;0;0;walking
1003;00:11:39;0;0;0;-1,689064;0,9350333;0,1457023;0;0;0;walking
1004;00:11:41;0;0;0;-1,689618;0,9342459;0,1444198;0;0;0;walking
1005;00:11:42;0;0;0;-1,689833;0,9336983;0,1430289;0;0;0;walking
1006;00:11:43;0;0;0;-1,689754;0,9332956;0,1414915;0;0;0;walking
1007;00:11:44;0;0;0;-1,690585;0,932384;0,1395251;0;0;0;walking
1008;00:11:45;0;0;0;-1,690845;0,9317929;0,137215;0;0;0;walking
1009;00:11:46;0;0;0;-1,691114;0,9312557;0,1344945;0;0;0;walking
1010;00:11:47;0;0;0;-1,692041;0,930354;0,1315024;0;0;0;walking
1011;00:11:49;0;0;0;-1,692584;0,9296625;0,1282669;0;0;0;walking
1012;00:11:50;0;0;0;-1,692905;0,9290586;0,1249543;0;0;0;walking
1013;00:11:51;0;0;0;-1,693783;0,9280576;0,1213472;0;0;0;walking
1014;00:11:52;0;0;0;-1,694521;0,9271764;0,1176758;0;0;0;walking
1015;00:11:53;0;0;0;-1,694968;0,9263829;0,113838;0;0;0;walking
1016;00:11:54;0;0;0;-1,6958;0,9252877;0,1097567;0;0;0;walking
1017;00:11:56;0;0;0;-1,696501;0,9244144;0,1057755;0;0;0;walking
1018;00:11:57;0;0;0;-1,697084;0,9235798;0,1013231;0;0;0;walking
1019;00:11:58;0;0;0;-1,697332;0,9229474;0,09680098;0;0;0;walking
1020;00:11:59;0;0;0;-1,698309;0,9221364;0,09200996;0;0;0;walking
1021;00:11:60;0;0;0;-1,699234;0,9212928;0,08713323;0;0;0;walking
1022;00:11:61;0;0;0;-1,700034;0,9205838;0,08214015;0;0;0;walking
1023;00:11:62;0;0;0;-1,701295;0,9196259;0,07704401;0;0;0;walking
1024;00:11:63;0;0;0;-1,702522;0,9185891;0,07163531;0;0;0;walking
1025;00:11:65;0;0;0;-1,703183;0,917821;0,06634456;0;0;0;walking
1026;00:11:66;0;0;0;-1,704937;0,9163407;0,06067294;0;0;0;walking
1027;00:11:67;0;0;0;-1,706407;0,9149704;0,05487913;0;0;0;walking
1028;00:11:68;0;0;0;-1,707216;0,9140441;0,04921377;0;0;0;walking
1029;00:11:69;0;0;0;-1,709463;0,9123422;0,04305923;0;0;0;walking
1030;00:11:70;0;0;0;-1,711723;0,9109036;0,03684753;0;0;0;walking
1031;00:11:71;0;0;0;-1,713388;0,9099896;0,03078288;0;0;0;walking
1032;00:11:72;0;0;0;-1,716659;0,9083146;0,02429914;0;0;0;walking
1033;00:11:74;0;0;0;-1,719449;0,9069364;0,01777959;0;0;0;walking
1034;00:11:75;0;0;0;-1,721982;0,9056678;0,0114252;0;0;0;walking
1035;00:11:76;0;0;0;-1,725525;0,9039062;0,004922152;0;0;0;walking
1036;00:11:77;0;0;0;-1,728866;0,9023093;-0,001335442;0;0;0;walking
1037;00:11:78;0;0;0;-1,732569;0,9007285;-0,007487714;0;0;0;walking
1038;00:11:79;0;0;0;-1,736323;0,8990712;-0,01345795;0;0;0;walking
1039;00:11:80;0;0;0;-1,740367;0,8974138;-0,01914978;0;0;0;walking
1040;00:11:81;0;0;0;-1,744303;0,895829;-0,02470696;0;0;0;walking
1041;00:11:83;0;0;0;-1,748706;0,894078;-0,02994233;0;0;0;walking
1042;00:11:84;0;0;0;-1,752995;0,8923868;-0,03527409;0;0;0;walking
1043;00:11:85;0;0;0;-1,756911;0,8911517;-0,04026735;0;0;0;walking
1044;00:11:86;0;0;0;-1,76156;0,8893974;-0,04500967;0;0;0;walking
1045;00:11:87;0;0;0;-1,766033;0,887725;-0,04968154;0;0;0;walking
1046;00:11:88;0;0;0;-1,769887;0,8866402;-0,05392206;0;0;0;walking
1047;00:11:89;0;0;0;-1,773911;0,8851609;-0,05825341;0;0;0;walking
1048;00:11:90;0;0;0;-1,778149;0,8834802;-0,06226158;0;0;0;walking
1049;00:11:91;0;0;0;-1,782175;0,8821068;-0,06584114;0;0;0;walking
1050;00:11:93;0;0;0;-1,786057;0,8803642;-0,06977928;0;0;0;walking
1051;00:11:94;0;0;0;-1,789805;0,8784716;-0,07360202;0;0;0;walking
1052;00:11:95;0;0;0;-1,793301;0,8769749;-0,07697189;0;0;0;walking
1053;00:11:96;0;0;0;-1,797079;0,8751415;-0,08051449;0;0;0;walking
1054;00:11:97;0;0;0;-1,80072;0,8732935;-0,08378607;0;0;0;walking
1055;00:11:98;0;0;0;-1,803649;0,8716284;-0,08677;0;0;0;walking
1056;00:11:99;0;0;0;-1,806885;0,8696947;-0,0900178;0;0;0;walking
1057;00:12:00;0;0;0;-1,810222;0,8674461;-0,09321082;0;0;0;walking
1058;00:12:01;0;0;0;-1,813495;0,8653094;-0,09639746;0;0;0;walking
1059;00:12:03;0;0;0;-1,816999;0,8631433;-0,09939408;0;0;0;walking
1060;00:12:04;0;0;0;-1,820731;0,8612735;-0,102268;0;0;0;walking
1061;00:12:05;0;0;0;-1,824249;0,8600721;-0,1050057;0;0;0;walking
1062;00:12:06;0;0;0;-1,828063;0,8587593;-0,1078023;0;0;0;walking
1063;00:12:07;0;0;0;-1,831879;0,8573583;-0,1105656;0;0;0;walking
1064;00:12:08;0;0;0;-1,835139;0,855881;-0,1129164;0;0;0;walking
1065;00:12:09;0;0;0;-1,83882;0,8540421;-0,1154565;0;0;0;walking
1066;00:12:10;0;0;0;-1,842509;0,8520736;-0,1176901;0;0;0;walking
1067;00:12:12;0;0;0;-1,843051;0,8514404;-0,1186988;0;0;0;walking
1068;00:12:13;0;0;0;-1,846454;0,8496084;-0,1208584;0;0;0;walking
1069;00:12:14;0;0;0;-1,849641;0,8478127;-0,1229007;0;0;0;walking
1070;00:12:15;0;0;0;-1,852908;0,8461123;-0,1248533;0;0;0;walking
1071;00:12:16;0;0;0;-1,855801;0,844435;-0,1264588;0;0;0;walking
1072;00:12:17;0;0;0;-1,858669;0,8426865;-0,1280935;0;0;0;walking
1073;00:12:18;0;0;0;-1,8616;0,8409781;-0,1295016;0;0;0;walking
1074;00:12:19;0;0;0;-1,864267;0,8395114;-0,1307094;0;0;0;nothing
1075;00:12:20;0;0;0;-1,866915;0,8382167;-0,1317905;0;0;0;nothing
1076;00:12:22;0;0;0;-1,869619;0,8370348;-0,1327714;0;0;0;nothing
1077;00:12:23;0;0;0;-1,872291;0,8360004;-0,1336606;0;0;0;nothing
1078;00:12:24;0;0;0;-1,874886;0,8350986;-0,1343671;0;0;0;nothing
1079;00:12:25;0;0;0;-1,87764;0,8340491;-0,1351913;0;0;0;nothing
1080;00:12:26;0;0;0;-1,880243;0,8331895;-0,1357727;0;0;0;nothing
1081;00:12:27;0;0;0;-1,882825;0,8323913;-0,1363025;0;0;0;nothing
1082;00:12:28;0;0;0;-1,885311;0,8315166;-0,1367791;0;0;0;nothing
1083;00:12:29;0;0;0;-1,887642;0,8307827;-0,1372206;0;0;0;nothing
1084;00:12:30;0;0;0;-1,889872;0,8300893;-0,1376188;0;0;0;nothing
1085;00:12:32;0;0;0;-1,891919;0,8294125;-0,1377557;0;0;0;nothing
1086;00:12:33;0;0;0;-1,89385;0,8288207;-0,1380158;0;0;0;nothing
1087;00:12:34;0;0;0;-1,895747;0,828174;-0,138291;0;0;0;nothing
1088;00:12:35;0;0;0;-1,897658;0,8274542;-0,1385185;0;0;0;nothing
1089;00:12:36;0;0;0;-1,899237;0,8267093;-0,1387714;0;0;0;nothing
1090;00:12:37;0;0;0;-1,900694;0,8259749;-0,1390293;0;0;0;nothing
1091;00:12:38;0;0;0;-1,902123;0,8252128;-0,1393639;0;0;0;nothing
1092;00:12:39;0;0;0;-1,903341;0,8245722;-0,139648;0;0;0;nothing
1093;00:12:41;0;0;0;-1,904476;0,8239422;-0,1399663;0;0;0;nothing
1094;00:12:42;0;0;0;-1,905232;0,823283;-0,1403865;0;0;0;nothing
1095;00:12:43;0;0;0;-1,9061;0,8226888;-0,1407285;0;0;0;nothing
1096;00:12:44;0;0;0;-1,906933;0,822049;-0,1410379;0;0;0;nothing
1097;00:12:45;0;0;0;-1,907629;0,8212513;-0,1414291;0;0;0;nothing
1098;00:12:46;0;0;0;-1,90828;0,8204925;-0,1417637;0;0;0;nothing
1099;00:12:47;0;0;0;-1,90849;0,8196437;-0,1420232;0;0;0;nothing
1100;00:12:48;0;0;0;-1,909132;0,8188256;-0,1426458;0;0;0;nothing
1101;00:12:49;0;0;0;-1,909735;0,8180106;-0,1431229;0;0;0;nothing
1102;00:12:51;0;0;0;-1,910358;0,8172032;-0,1435571;0;0;0;nothing
1103;00:12:52;0;0;0;-1,911043;0,816224;-0,1440458;0;0;0;nothing
1104;00:12:53;0;0;0;-1,911578;0,8153083;-0,1443763;0;0;0;nothing
1105;00:12:54;0;0;0;-1,912082;0,8143771;-0,1446623;0;0;0;nothing
1106;00:12:55;0;0;0;-1,91223;0,8133889;-0,1446758;0;0;0;nothing
1107;00:12:56;0;0;0;-1,912645;0,8125018;-0,1449383;0;0;0;nothing
1108;00:12:57;0;0;0;-1,913047;0,81156;-0,1452114;0;0;0;nothing
1109;00:12:58;0;0;0;-1,913389;0,8106979;-0,1456442;0;0;0;nothing
1110;00:12:60;0;0;0;-1,913752;0,809836;-0,1459048;0;0;0;nothing
1111;00:12:61;0;0;0;-1,913797;0,8089257;-0,1460058;0;0;0;nothing
1112;00:12:62;0;0;0;-1,914147;0,8079627;-0,146249;0;0;0;nothing
1113;00:12:63;0;0;0;-1,914378;0,8070302;-0,1463606;0;0;0;nothing
1114;00:12:64;0;0;0;-1,91461;0,8059825;-0,1464025;0;0;0;nothing
1115;00:12:65;0;0;0;-1,914857;0,804994;-0,1463594;0;0;0;nothing
1116;00:12:66;0;0;0;-1,914977;0,8040788;-0,1462744;0;0;0;nothing
1117;00:12:67;0;0;0;-1,915146;0,8029613;-0,1462345;0;0;0;nothing
1118;00:12:68;0;0;0;-1,91515;0,8019216;-0,1461931;0;0;0;nothing
1119;00:12:70;0;0;0;-1,915084;0,8008848;-0,1460872;0;0;0;nothing
1120;00:12:71;0;0;0;-1,914713;0,7998147;-0,1458356;0;0;0;nothing
1121;00:12:72;0;0;0;-1,914608;0,7986517;-0,1457951;0;0;0;nothing
1122;00:12:73;0;0;0;-1,914425;0,7975318;-0,145648;0;0;0;nothing
1123;00:12:74;0;0;0;-1,914217;0,7962787;-0,1454785;0;0;0;nothing
1124;00:12:75;0;0;0;-1,914158;0,795022;-0,1453232;0;0;0;nothing
1125;00:12:76;0;0;0;-1,913882;0,7947699;-0,1453062;0;0;0;nothing
1126;00:12:77;0;0;0;-1,913925;0,7950631;-0,1450707;0;0;0;nothing
1127;00:12:79;0;0;0;-1,913995;0,7942336;-0,1444684;0;0;0;nothing
1128;00:12:80;0;0;0;-1,913678;0,7932909;-0,1442764;0;0;0;nothing
1129;00:12:81;0;0;0;-1,91377;0,7924658;-0,1443365;0;0;0;nothing
1130;00:12:82;0;0;0;-1,913828;0,7920796;-0,1442251;0;0;0;nothing
1131;00:12:83;0;0;0;-1,913961;0,7917871;-0,1441689;0;0;0;nothing
1132;00:12:84;0;0;0;-1,914142;0,7915338;-0,1441129;0;0;0;nothing
1133;00:12:85;0;0;0;-1,915295;0,7909271;-0,1442617;0;0;0;nothing
1134;00:12:86;0;0;0;-1,915709;0,7906224;-0,1441282;0;0;0;nothing
1135;00:12:87;0;0;0;-1,916657;0,7901024;-0,1441852;0;0;0;nothing
1136;00:12:89;0;0;0;-1,917257;0,7898272;-0,1440965;0;0;0;nothing
1137;00:12:90;0;0;0;-1,917761;0,7897983;-0,1440246;0;0;0;nothing
1138;00:12:91;0;0;0;-1,918665;0,7894572;-0,1441326;0;0;0;nothing
1139;00:12:92;0;0;0;-1,919311;0,7894542;-0,1440597;0;0;0;nothing
1140;00:12:93;0;0;0;-1,91984;0,7895159;-0,144002;0;0;0;nothing
1141;00:12:94;0;0;0;-1,920735;0,7892842;-0,1440489;0;0;0;nothing
1142;00:12:95;0;0;0;-1,921032;0,7893209;-0,1437238;0;0;0;nothing
1143;00:12:96;0;0;0;-1,921074;0,7894311;-0,1435419;0;0;0;nothing
1144;00:12:98;0;0;0;-1,921575;0,7892867;-0,1436372;0;0;0;nothing
1145;00:12:99;0;0;0;-1,921639;0,7892797;-0,1436791;0;0;0;nothing
1146;00:13:00;0;0;0;-1,921539;0,7892884;-0,1436702;0;0;0;nothing
1147;00:13:01;0;0;0;-1,921861;0,7890265;-0,1438179;0;0;0;nothing
1148;00:13:02;0;0;0;-1,921245;0,7891841;-0,1436844;0;0;0;nothing
1149;00:13:03;0;0;0;-1,921015;0,7895551;-0,1437293;0;0;0;nothing
1150;00:13:04;0;0;0;-1,918533;0,7903975;-0,1427622;0;0;0;nothing
1151;00:13:05;0;0;0;-1,918102;0,7904717;-0,1427385;0;0;0;nothing
1152;00:13:06;0;0;0;-1,917866;0,7904713;-0,1427267;0;0;0;nothing
1153;00:13:08;0;0;0;-1,917532;0,7905259;-0,1427343;0;0;0;nothing
1154;00:13:09;0;0;0;-1,917367;0,7906088;-0,1426643;0;0;0;nothing
1155;00:13:10;0;0;0;-1,917096;0,7907211;-0,1426957;0;0;0;nothing
1156;00:13:11;0;0;0;-1,916935;0,790759;-0,1427661;0;0;0;nothing
1157;00:13:12;0;0;0;-1,916689;0,7908036;-0,1427124;0;0;0;nothing
1158;00:13:13;0;0;0;-1,916402;0,7908437;-0,1426548;0;0;0;nothing
1159;00:13:14;0;0;0;-1,91636;0,7909635;-0,142653;0;0;0;nothing
1160;00:13:15;0;0;0;-1,91633;0,7909904;-0,1424989;0;0;0;nothing
1161;00:13:17;0;0;0;-1,916161;0,7910068;-0,1423709;0;0;0;nothing
1162;00:13:18;0;0;0;-1,916195;0,790805;-0,142372;0;0;0;nothing
1163;00:13:19;0;0;0;-1,916117;0,7908243;-0,1422874;0;0;0;nothing
1164;00:13:20;0;0;0;-1,915977;0,7908643;-0,1421185;0;0;0;nothing
1165;00:13:21;0;0;0;-1,916183;0,790671;-0,1421384;0;0;0;nothing
1166;00:13:22;0;0;0;-1,916191;0,7906524;-0,1420376;0;0;0;nothing
1167;00:13:23;0;0;0;-1,916031;0,7907454;-0,1419453;0;0;0;nothing
1168;00:13:24;0;0;0;-1,916112;0,7906816;-0,1419464;0;0;0;nothing
1169;00:13:25;0;0;0;-1,915941;0,7905616;-0,1417543;0;0;0;nothing
1170;00:13:27;0;0;0;-1,915484;0,7904227;-0,1414868;0;0;0;nothing
1171;00:13:28;0;0;0;-1,913637;0,7909354;-0,1407917;0;0;0;nothing
1172;00:13:29;0;0;0;-1,913404;0,7909638;-0,1407708;0;0;0;nothing
1173;00:13:30;0;0;0;-1,913149;0,7909577;-0,1406246;0;0;0;nothing
1174;00:13:31;0;0;0;-1,912117;0,7911947;-0,1402144;0;0;0;nothing
1175;00:13:32;0;0;0;-1,911824;0,791083;-0,1399531;0;0;0;nothing
1176;00:13:33;0;0;0;-1,911444;0,7910424;-0,1397861;0;0;0;nothing
1177;00:13:34;0;0;0;-1,911405;0,7908897;-0,1397927;0;0;0;nothing
1178;00:13:35;0;0;0;-1,911206;0,7908144;-0,1397069;0;0;0;nothing
1179;00:13:37;0;0;0;-1,910823;0,7908372;-0,1395312;0;0;0;nothing
1180;00:13:38;0;0;0;-1,908909;0,7916558;-0,1387531;0;0;0;nothing
1181;00:13:39;0;0;0;-1,908756;0,7915841;-0,1386691;0;0;0;nothing
